angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.2,0.04,[147  80  64  64],[102  23 133 133],0.08,0.0,0.2,0.57,0.04,0.0,0.12,0.07,0.21,0.32,0.15,0.01
0.09,0.05,[148  80  64  64],[104  27 129 129],0.01,0.0,0.15,0.56,0.04,0.01,0.2,0.1,0.22,0.29,0.28,0.01
0.16,,[103  27 121 121],,0.03,,0.5,,0.0,,0.04,,0.26,,0.01,
0.11,,[100  26 126 126],,0.0,,0.63,,0.0,,0.04,,0.21,,0.0,
0.21,,[ 88  21 133 133],,0.0,,0.58,,0.0,,0.02,,0.17,,0.02,
0.23,,[ 90  22 131 131],,0.0,,0.52,,0.0,,0.03,,0.2,,0.01,
0.11,,[ 75  17 139 139],,0.0,,0.18,,0.05,,0.24,,0.4,,0.02,
0.14,,[ 74  18 138 138],,0.0,,0.39,,0.02,,0.07,,0.33,,0.04,
0.06,,[ 82  20 135 135],,0.0,,0.5,,0.09,,0.06,,0.25,,0.04,
0.06,,[ 80  19 137 137],,0.0,,0.5,,0.11,,0.1,,0.17,,0.06,
0.04,,[ 82  19 135 135],,0.0,,0.48,,0.11,,0.06,,0.22,,0.09,
0.14,,[ 74  18 137 137],,0.0,,0.08,,0.25,,0.19,,0.34,,0.0,
0.08,,[ 79  19 132 132],,0.0,,0.06,,0.23,,0.26,,0.36,,0.0,
0.07,,[ 77  18 132 132],,0.0,,0.07,,0.36,,0.33,,0.17,,0.01,
0.05,,[ 82  17 133 133],,0.0,,0.16,,0.13,,0.39,,0.27,,0.01,
0.05,,[ 83  17 133 133],,0.0,,0.21,,0.13,,0.33,,0.28,,0.01,
0.1,,[ 79  17 136 136],,0.0,,0.39,,0.17,,0.06,,0.22,,0.07,
0.13,,[ 79  16 137 137],,0.0,,0.4,,0.12,,0.11,,0.16,,0.07,
0.1,,[ 80  16 138 138],,0.0,,0.16,,0.46,,0.12,,0.13,,0.02,
0.09,,[ 82  19 133 133],,0.0,,0.22,,0.37,,0.12,,0.17,,0.02,
0.09,,[ 80  17 137 137],,0.0,,0.41,,0.18,,0.04,,0.19,,0.1,
0.13,,[ 82  16 138 138],,0.0,,0.52,,0.07,,0.04,,0.14,,0.11,
0.07,,[ 84  18 135 135],,0.0,,0.53,,0.1,,0.03,,0.15,,0.12,
0.08,,[ 84  18 138 138],,0.0,,0.55,,0.05,,0.02,,0.21,,0.09,
0.15,,[ 79  17 134 134],,0.0,,0.55,,0.0,,0.06,,0.15,,0.09,
0.22,,[ 74  17 135 135],,0.0,,0.44,,0.0,,0.07,,0.16,,0.1,
0.15,,[ 71  18 135 135],,0.0,,0.55,,0.0,,0.02,,0.16,,0.12,
0.12,,[ 71  17 136 136],,0.0,,0.58,,0.0,,0.02,,0.12,,0.16,
0.04,,[ 72  17 144 144],,0.0,,0.73,,0.0,,0.01,,0.14,,0.07,
0.08,,[ 67  16 143 143],,0.0,,0.68,,0.0,,0.01,,0.11,,0.11,
0.03,,[ 73  15 149 149],,0.0,,0.65,,0.0,,0.03,,0.11,,0.19,
0.04,,[ 71  15 149 149],,0.0,,0.59,,0.0,,0.03,,0.09,,0.23,
0.14,,[ 71  18 141 141],,0.0,,0.61,,0.0,,0.03,,0.09,,0.13,
0.18,,[ 70  17 143 143],,0.0,,0.58,,0.0,,0.04,,0.09,,0.11,
0.09,,[ 72  22 134 134],,0.0,,0.67,,0.0,,0.01,,0.05,,0.18,
0.12,,[ 77  23 127 127],,0.0,,0.51,,0.0,,0.04,,0.1,,0.22,
0.11,,[ 76  22 132 132],,0.0,,0.53,,0.0,,0.08,,0.14,,0.13,
0.23,,[ 75  21 130 130],,0.0,,0.42,,0.0,,0.05,,0.13,,0.18,
0.27,,[ 75  23 130 130],,0.0,,0.37,,0.0,,0.09,,0.18,,0.1,
0.21,,[ 73  18 139 139],,0.0,,0.55,,0.0,,0.09,,0.11,,0.05,
0.27,,[ 74  20 135 135],,0.0,,0.4,,0.0,,0.04,,0.09,,0.2,
0.16,,[ 75  23 135 135],,0.0,,0.51,,0.0,,0.03,,0.12,,0.18,
0.15,,[ 75  23 135 135],,0.0,,0.5,,0.0,,0.04,,0.14,,0.17,
0.18,,[ 74  23 136 136],,0.0,,0.51,,0.0,,0.04,,0.22,,0.04,
0.12,,[ 73  23 138 138],,0.0,,0.49,,0.0,,0.03,,0.3,,0.05,
0.12,,[ 73  25 134 134],,0.0,,0.47,,0.0,,0.04,,0.33,,0.04,
0.08,,[ 71  28 140 140],,0.0,,0.37,,0.0,,0.03,,0.49,,0.03,
0.09,,[ 68  38 127 127],,0.0,,0.18,,0.0,,0.11,,0.59,,0.02,
0.16,,[ 69  40 124 124],,0.01,,0.22,,0.0,,0.05,,0.53,,0.04,
0.07,,[ 64  33 134 134],,0.0,,0.13,,0.0,,0.13,,0.67,,0.0,
0.04,,[ 66  32 134 134],,0.0,,0.12,,0.0,,0.05,,0.78,,0.01,
0.02,,[ 72  25 146 146],,0.0,,0.19,,0.0,,0.02,,0.75,,0.02,
0.02,,[ 77  26 141 141],,0.0,,0.12,,0.0,,0.02,,0.84,,0.02,
0.05,,[ 77  28 131 131],,0.0,,0.2,,0.0,,0.02,,0.72,,0.01,
0.03,,[ 81  30 129 129],,0.0,,0.19,,0.0,,0.02,,0.73,,0.02,
0.05,,[ 94  29 126 126],,0.0,,0.16,,0.0,,0.03,,0.76,,0.0,
0.1,,[ 77  22 134 134],,0.0,,0.29,,0.0,,0.1,,0.51,,0.01,
0.02,,[ 84  18 131 131],,0.0,,0.73,,0.0,,0.06,,0.14,,0.04,
0.08,,[ 76  16 138 138],,0.0,,0.55,,0.0,,0.04,,0.2,,0.12,
0.11,,[ 76  17 135 135],,0.0,,0.42,,0.02,,0.08,,0.35,,0.03,
0.11,,[ 76  17 135 135],,0.0,,0.43,,0.02,,0.07,,0.34,,0.03,
0.12,,[ 70  11 142 142],,0.0,,0.5,,0.03,,0.12,,0.2,,0.03,
0.1,,[ 69  12 143 143],,0.0,,0.58,,0.02,,0.07,,0.14,,0.09,
0.07,,[ 77  17 135 135],,0.0,,0.34,,0.03,,0.45,,0.1,,0.01,
0.04,,[ 79  18 130 130],,0.0,,0.53,,0.02,,0.28,,0.12,,0.01,
0.06,,[ 77  17 134 134],,0.0,,0.36,,0.05,,0.34,,0.17,,0.01,
0.12,,[ 75  17 132 132],,0.0,,0.39,,0.03,,0.31,,0.12,,0.02,
0.19,,[ 70  15 137 137],,0.0,,0.46,,0.05,,0.06,,0.16,,0.08,
0.12,,[ 72  14 141 141],,0.0,,0.69,,0.0,,0.02,,0.11,,0.05,
0.09,,[ 71  13 142 142],,0.0,,0.72,,0.0,,0.03,,0.08,,0.08,
0.17,,[ 70  16 137 137],,0.0,,0.48,,0.02,,0.08,,0.21,,0.05,
0.11,,[ 78  17 135 135],,0.0,,0.58,,0.01,,0.14,,0.14,,0.01,
0.11,,[ 78  17 135 135],,0.0,,0.58,,0.01,,0.14,,0.14,,0.01,
